"year","age","cohort","males_baseline","females_baseline","males_policy","females_policy","both_baseline","both_policy","policy_year"
2037,"12-17","ALL",0.0609,0.0374,0.0589,0.0362,0.0494,0.0478,2019
2038,"12-17","ALL",0.0609,0.0374,0.059,0.0363,0.0494,0.0479,2019
2039,"12-17","ALL",0.061,0.0374,0.0591,0.0363,0.0495,0.0479,2019
2040,"12-17","ALL",0.0611,0.0374,0.0591,0.0363,0.0495,0.0479,2019
2041,"12-17","ALL",0.0611,0.0375,0.0591,0.0363,0.0495,0.048,2019
2042,"12-17","ALL",0.0611,0.0375,0.0591,0.0363,0.0495,0.048,2019
2043,"12-17","ALL",0.0611,0.0375,0.0592,0.0364,0.0496,0.048,2019
2044,"12-17","ALL",0.0611,0.0375,0.0592,0.0364,0.0496,0.048,2019
2045,"12-17","ALL",0.0611,0.0375,0.0592,0.0363,0.0496,0.048,2019
2046,"12-17","ALL",0.0611,0.0375,0.0591,0.0363,0.0496,0.048,2019
2047,"12-17","ALL",0.0611,0.0375,0.0591,0.0364,0.0495,0.048,2019
2048,"12-17","ALL",0.061,0.0374,0.0591,0.0363,0.0495,0.0479,2019
2049,"12-17","ALL",0.061,0.0374,0.0591,0.0363,0.0495,0.0479,2019
2050,"12-17","ALL",0.061,0.0375,0.0591,0.0363,0.0495,0.0479,2019
2051,"12-17","ALL",0.061,0.0374,0.0591,0.0363,0.0495,0.0479,2019
2052,"12-17","ALL",0.061,0.0374,0.0591,0.0363,0.0495,0.048,2019
2053,"12-17","ALL",0.061,0.0374,0.0591,0.0363,0.0495,0.0479,2019
2054,"12-17","ALL",0.061,0.0374,0.0591,0.0363,0.0494,0.0479,2019
2055,"12-17","ALL",0.061,0.0374,0.059,0.0363,0.0494,0.0479,2019
2056,"12-17","ALL",0.061,0.0374,0.059,0.0363,0.0494,0.0479,2019
2057,"12-17","ALL",0.0609,0.0374,0.059,0.0363,0.0494,0.0479,2019
2058,"12-17","ALL",0.0609,0.0374,0.059,0.0363,0.0494,0.0479,2019
2059,"12-17","ALL",0.0609,0.0374,0.0591,0.0362,0.0494,0.0479,2019
2060,"12-17","ALL",0.0609,0.0374,0.0591,0.0362,0.0494,0.0479,2019
2010,"18-24","ALL",0.2441,0.1887,0.2434,0.1891,0.217,0.2168,2019
2011,"18-24","ALL",0.2332,0.179,0.233,0.1795,0.2066,0.2068,2019
2012,"18-24","ALL",0.2232,0.1694,0.2229,0.17,0.1969,0.197,2019
2013,"18-24","ALL",0.214,0.1611,0.214,0.1612,0.1881,0.1881,2019
2014,"18-24","ALL",0.2067,0.1542,0.2069,0.1539,0.1811,0.181,2019
2015,"18-24","ALL",0.2003,0.1477,0.2004,0.1475,0.1747,0.1747,2019
2016,"18-24","ALL",0.1956,0.1426,0.1954,0.1425,0.1698,0.1697,2019
2017,"18-24","ALL",0.192,0.1385,0.192,0.1387,0.166,0.166,2019
2018,"18-24","ALL",0.1901,0.1354,0.19,0.1356,0.1635,0.1635,2019
2019,"18-24","ALL",0.1893,0.1332,0.1875,0.1325,0.1619,0.1607,2019
2020,"18-24","ALL",0.189,0.1319,0.186,0.1305,0.1611,0.1589,2019
2021,"18-24","ALL",0.1888,0.1312,0.1849,0.1291,0.1607,0.1577,2019
2022,"18-24","ALL",0.1885,0.131,0.1839,0.128,0.1604,0.1566,2019
2023,"18-24","ALL",0.1882,0.1307,0.1829,0.1273,0.1601,0.1557,2019
2024,"18-24","ALL",0.188,0.1307,0.1821,0.1267,0.16,0.155,2019
2025,"18-24","ALL",0.1878,0.1305,0.1817,0.1263,0.1598,0.1546,2019
2026,"18-24","ALL",0.1877,0.1304,0.1813,0.1261,0.1597,0.1543,2019
2027,"18-24","ALL",0.1879,0.1305,0.1811,0.1259,0.1598,0.1541,2019
2028,"18-24","ALL",0.188,0.1305,0.1812,0.1258,0.1599,0.1541,2019
2029,"18-24","ALL",0.188,0.1305,0.1814,0.1259,0.1599,0.1543,2019
2030,"18-24","ALL",0.188,0.1306,0.1814,0.1261,0.1599,0.1544,2019
2031,"18-24","ALL",0.188,0.1306,0.1814,0.1262,0.1599,0.1545,2019
2032,"18-24","ALL",0.1878,0.1304,0.1812,0.1262,0.1598,0.1544,2019
2033,"18-24","ALL",0.1878,0.1303,0.1813,0.1262,0.1597,0.1544,2019
2034,"18-24","ALL",0.1877,0.1304,0.1813,0.1263,0.1597,0.1544,2019
2035,"18-24","ALL",0.1876,0.1303,0.1812,0.1262,0.1596,0.1543,2019
2036,"18-24","ALL",0.1876,0.1303,0.1812,0.1261,0.1596,0.1543,2019
2037,"18-24","ALL",0.1875,0.1303,0.1811,0.126,0.1596,0.1542,2019
2038,"18-24","ALL",0.1876,0.1304,0.1811,0.1259,0.1597,0.1541,2019
2039,"18-24","ALL",0.1877,0.1304,0.1811,0.1259,0.1597,0.1541,2019
2040,"18-24","ALL",0.1877,0.1304,0.1811,0.1259,0.1597,0.1542,2019
2041,"18-24","ALL",0.1877,0.1304,0.1812,0.1259,0.1597,0.1542,2019
2042,"18-24","ALL",0.1878,0.1303,0.1812,0.126,0.1598,0.1542,2019
2043,"18-24","ALL",0.1878,0.1304,0.1812,0.126,0.1598,0.1543,2019
2044,"18-24","ALL",0.1878,0.1304,0.1813,0.126,0.1598,0.1543,2019
2045,"18-24","ALL",0.1879,0.1304,0.1813,0.126,0.1598,0.1543,2019
2046,"18-24","ALL",0.1879,0.1305,0.1814,0.126,0.1599,0.1544,2019
2047,"18-24","ALL",0.188,0.1305,0.1815,0.126,0.1599,0.1544,2019
2048,"18-24","ALL",0.188,0.1305,0.1816,0.1261,0.1599,0.1545,2019
2049,"18-24","ALL",0.188,0.1305,0.1816,0.1261,0.1599,0.1545,2019
2050,"18-24","ALL",0.188,0.1305,0.1815,0.1262,0.1599,0.1545,2019
2051,"18-24","ALL",0.1879,0.1305,0.1814,0.1262,0.1599,0.1545,2019
2052,"18-24","ALL",0.1879,0.1305,0.1815,0.1262,0.1599,0.1545,2019
2053,"18-24","ALL",0.1879,0.1305,0.1815,0.1262,0.1599,0.1545,2019
2054,"18-24","ALL",0.1879,0.1305,0.1815,0.1262,0.1599,0.1545,2019
2055,"18-24","ALL",0.1879,0.1305,0.1816,0.1262,0.1599,0.1545,2019
2056,"18-24","ALL",0.1879,0.1305,0.1815,0.1262,0.1598,0.1545,2019
2057,"18-24","ALL",0.1878,0.1305,0.1815,0.1262,0.1598,0.1545,2019
2058,"18-24","ALL",0.1878,0.1305,0.1816,0.1262,0.1599,0.1545,2019
2059,"18-24","ALL",0.1878,0.1305,0.1815,0.1261,0.1599,0.1545,2019
2060,"18-24","ALL",0.1878,0.1305,0.1816,0.1261,0.1598,0.1545,2019
2010,"25-44","ALL",0.2966,0.2299,0.2967,0.2296,0.2635,0.2634,2019
2011,"25-44","ALL",0.2937,0.2264,0.294,0.2263,0.2603,0.2604,2019
2012,"25-44","ALL",0.2904,0.2229,0.2907,0.2228,0.2569,0.257,2019
2013,"25-44","ALL",0.2867,0.219,0.2868,0.2192,0.2532,0.2533,2019
2014,"25-44","ALL",0.2824,0.2151,0.2824,0.2153,0.2489,0.249,2019
2015,"25-44","ALL",0.2778,0.2109,0.2779,0.2111,0.2445,0.2447,2019
2016,"25-44","ALL",0.2725,0.2065,0.2727,0.2069,0.2397,0.24,2019
2017,"25-44","ALL",0.267,0.2021,0.2668,0.2025,0.2348,0.2349,2019
2018,"25-44","ALL",0.2609,0.1977,0.2608,0.198,0.2296,0.2297,2019
2019,"25-44","ALL",0.2545,0.1933,0.2525,0.1922,0.2243,0.2226,2019
2020,"25-44","ALL",0.2485,0.1887,0.2444,0.1866,0.2189,0.2159,2019
2021,"25-44","ALL",0.2423,0.1841,0.2373,0.1814,0.2136,0.2097,2019
2022,"25-44","ALL",0.2365,0.1797,0.2306,0.1764,0.2085,0.2039,2019
2023,"25-44","ALL",0.2307,0.1753,0.2242,0.1716,0.2034,0.1983,2019
2024,"25-44","ALL",0.2252,0.1709,0.2183,0.1669,0.1985,0.193,2019
2025,"25-44","ALL",0.2196,0.1666,0.2124,0.1623,0.1936,0.1878,2019
2026,"25-44","ALL",0.2143,0.1625,0.2068,0.1579,0.1888,0.1828,2019
2027,"25-44","ALL",0.2091,0.1581,0.2014,0.1538,0.1841,0.1781,2019
2028,"25-44","ALL",0.2047,0.1544,0.1971,0.15,0.18,0.174,2019
2029,"25-44","ALL",0.2006,0.1509,0.1931,0.1466,0.1762,0.1703,2019
2030,"25-44","ALL",0.1971,0.1479,0.1895,0.1435,0.173,0.1669,2019
2031,"25-44","ALL",0.1939,0.1452,0.1864,0.1408,0.17,0.164,2019
2032,"25-44","ALL",0.1913,0.1429,0.1838,0.1385,0.1676,0.1616,2019
2033,"25-44","ALL",0.189,0.1409,0.1815,0.1365,0.1654,0.1595,2019
2034,"25-44","ALL",0.1873,0.1391,0.1797,0.1348,0.1637,0.1577,2019
2035,"25-44","ALL",0.1859,0.1378,0.1783,0.1335,0.1623,0.1564,2019
2036,"25-44","ALL",0.1848,0.1367,0.1774,0.1325,0.1612,0.1554,2019
2037,"25-44","ALL",0.1842,0.1359,0.1769,0.1318,0.1606,0.1548,2019
2038,"25-44","ALL",0.1838,0.1353,0.1764,0.1313,0.1601,0.1544,2019
2039,"25-44","ALL",0.1837,0.1349,0.1764,0.1309,0.1598,0.1541,2019
2040,"25-44","ALL",0.1837,0.1347,0.1764,0.1305,0.1597,0.1539,2019
2041,"25-44","ALL",0.1836,0.1346,0.1765,0.1304,0.1596,0.1539,2019
2042,"25-44","ALL",0.1836,0.1345,0.1765,0.1304,0.1595,0.1539,2019
2043,"25-44","ALL",0.1836,0.1345,0.1765,0.1301,0.1596,0.1538,2019
2044,"25-44","ALL",0.1836,0.1345,0.1765,0.13,0.1595,0.1537,2019
2045,"25-44","ALL",0.1836,0.1345,0.1767,0.1301,0.1596,0.1539,2019
2046,"25-44","ALL",0.1837,0.1345,0.1767,0.1301,0.1596,0.1539,2019
2047,"25-44","ALL",0.1837,0.1345,0.1768,0.13,0.1596,0.1539,2019
2048,"25-44","ALL",0.1837,0.1345,0.1769,0.1301,0.1596,0.154,2019
2049,"25-44","ALL",0.1837,0.1346,0.1769,0.1302,0.1597,0.1541,2019
2050,"25-44","ALL",0.1837,0.1346,0.1771,0.1302,0.1597,0.1542,2019
2051,"25-44","ALL",0.1837,0.1346,0.1772,0.1303,0.1597,0.1542,2019
2052,"25-44","ALL",0.1838,0.1346,0.1773,0.1303,0.1598,0.1543,2019
2053,"25-44","ALL",0.1839,0.1347,0.1772,0.1304,0.1598,0.1543,2019
2054,"25-44","ALL",0.1839,0.1347,0.1772,0.1304,0.1598,0.1543,2019
2055,"25-44","ALL",0.1838,0.1347,0.1771,0.1305,0.1598,0.1543,2019
2056,"25-44","ALL",0.1838,0.1346,0.1771,0.1305,0.1598,0.1543,2019
2057,"25-44","ALL",0.1838,0.1346,0.177,0.1305,0.1597,0.1543,2019
2058,"25-44","ALL",0.1837,0.1346,0.1769,0.1305,0.1597,0.1542,2019
2059,"25-44","ALL",0.1837,0.1346,0.1769,0.1305,0.1597,0.1542,2019
2060,"25-44","ALL",0.1837,0.1346,0.1768,0.1305,0.1597,0.1542,2019
2010,"45-64","ALL",0.2336,0.1996,0.2337,0.1995,0.2162,0.2161,2019
2011,"45-64","ALL",0.2267,0.1937,0.2265,0.1935,0.2098,0.2096,2019
2012,"45-64","ALL",0.2203,0.188,0.2202,0.1879,0.2037,0.2037,2019
2013,"45-64","ALL",0.2143,0.1826,0.2142,0.1826,0.198,0.198,2019
2014,"45-64","ALL",0.2084,0.1775,0.2084,0.1774,0.1926,0.1925,2019
2015,"45-64","ALL",0.203,0.1728,0.2032,0.1727,0.1875,0.1876,2019
2016,"45-64","ALL",0.198,0.1682,0.1982,0.1681,0.1828,0.1828,2019
2017,"45-64","ALL",0.1935,0.1639,0.1935,0.1637,0.1784,0.1782,2019
2018,"45-64","ALL",0.1889,0.1597,0.1892,0.1596,0.1739,0.174,2019
2019,"45-64","ALL",0.1849,0.1556,0.1836,0.1541,0.1699,0.1685,2019
2020,"45-64","ALL",0.1815,0.1517,0.1791,0.1495,0.1662,0.164,2019
2021,"45-64","ALL",0.1782,0.148,0.1751,0.1451,0.1628,0.1598,2019
2022,"45-64","ALL",0.1753,0.1444,0.1717,0.1412,0.1595,0.1561,2019
2023,"45-64","ALL",0.1731,0.1412,0.1688,0.1376,0.1568,0.1529,2019
2024,"45-64","ALL",0.1713,0.1382,0.1662,0.1345,0.1544,0.15,2019
2025,"45-64","ALL",0.1701,0.1358,0.1646,0.132,0.1526,0.148,2019
2026,"45-64","ALL",0.1692,0.134,0.1634,0.13,0.1513,0.1464,2019
2027,"45-64","ALL",0.1685,0.1327,0.1625,0.1284,0.1503,0.1451,2019
2028,"45-64","ALL",0.1675,0.131,0.1611,0.1268,0.1489,0.1437,2019
2029,"45-64","ALL",0.1666,0.1297,0.1599,0.1254,0.1478,0.1424,2019
2030,"45-64","ALL",0.1653,0.1284,0.1588,0.124,0.1466,0.1411,2019
2031,"45-64","ALL",0.1637,0.1269,0.1571,0.1225,0.1451,0.1396,2019
2032,"45-64","ALL",0.1618,0.1252,0.1551,0.121,0.1433,0.1378,2019
2033,"45-64","ALL",0.1597,0.1233,0.1529,0.1193,0.1413,0.1359,2019
2034,"45-64","ALL",0.1573,0.1214,0.1507,0.1174,0.1392,0.1339,2019
2035,"45-64","ALL",0.1548,0.1193,0.1484,0.1156,0.1369,0.1318,2019
2036,"45-64","ALL",0.152,0.1174,0.1456,0.1136,0.1346,0.1295,2019
2037,"45-64","ALL",0.1488,0.115,0.1426,0.1114,0.1318,0.1269,2019
2038,"45-64","ALL",0.1454,0.1127,0.1394,0.109,0.129,0.1241,2019
2039,"45-64","ALL",0.1418,0.1102,0.1359,0.1067,0.1259,0.1212,2019
2040,"45-64","ALL",0.1384,0.1078,0.1323,0.1042,0.1231,0.1183,2019
2041,"45-64","ALL",0.1349,0.1052,0.1291,0.1017,0.12,0.1154,2019
2042,"45-64","ALL",0.1317,0.1028,0.126,0.0993,0.1173,0.1127,2019
2043,"45-64","ALL",0.1286,0.1003,0.1229,0.0969,0.1145,0.1099,2019
2044,"45-64","ALL",0.1256,0.0979,0.12,0.0948,0.1118,0.1075,2019
2045,"45-64","ALL",0.1226,0.0957,0.1173,0.0926,0.1092,0.105,2019
2046,"45-64","ALL",0.1197,0.0935,0.1147,0.0905,0.1067,0.1027,2019
2047,"45-64","ALL",0.1169,0.0915,0.1122,0.0885,0.1043,0.1004,2019
2048,"45-64","ALL",0.1147,0.0895,0.1101,0.0866,0.1022,0.0984,2019
2049,"45-64","ALL",0.1126,0.0878,0.1082,0.0849,0.1003,0.0966,2019
2050,"45-64","ALL",0.1109,0.0863,0.1064,0.0834,0.0987,0.095,2019
2051,"45-64","ALL",0.1092,0.085,0.1049,0.082,0.0972,0.0936,2019
2052,"45-64","ALL",0.1079,0.0839,0.1036,0.0809,0.096,0.0923,2019
2053,"45-64","ALL",0.1067,0.0831,0.1024,0.0799,0.095,0.0913,2019
2054,"45-64","ALL",0.1058,0.0823,0.1016,0.0791,0.0942,0.0905,2019
2055,"45-64","ALL",0.1051,0.0818,0.101,0.0786,0.0936,0.0899,2019
2056,"45-64","ALL",0.1046,0.0814,0.1005,0.0782,0.0931,0.0894,2019
2057,"45-64","ALL",0.1042,0.081,0.1002,0.0778,0.0927,0.0891,2019
2058,"45-64","ALL",0.1041,0.0808,0.1,0.0776,0.0925,0.0889,2019
2059,"45-64","ALL",0.104,0.0806,0.1,0.0774,0.0925,0.0889,2019
2060,"45-64","ALL",0.1041,0.0805,0.1001,0.0774,0.0924,0.0888,2019
2010,"65p","ALL",0.1241,0.0987,0.1241,0.0984,0.1091,0.1089,2019
2011,"65p","ALL",0.1237,0.0962,0.1239,0.0959,0.1075,0.1074,2019
2012,"65p","ALL",0.1239,0.0942,0.124,0.0938,0.1065,0.1063,2019
2013,"65p","ALL",0.1231,0.0917,0.1234,0.0914,0.1048,0.1047,2019
2014,"65p","ALL",0.1225,0.089,0.1227,0.0892,0.1031,0.1033,2019
2015,"65p","ALL",0.1208,0.0861,0.1206,0.0864,0.1008,0.1009,2019
2016,"65p","ALL",0.1187,0.0838,0.1183,0.0839,0.0986,0.0985,2019
2017,"65p","ALL",0.1155,0.0811,0.1153,0.0809,0.0957,0.0955,2019
2018,"65p","ALL",0.1128,0.079,0.1126,0.0788,0.0935,0.0933,2019
2019,"65p","ALL",0.11,0.0776,0.109,0.0765,0.0915,0.0904,2019
2020,"65p","ALL",0.1074,0.0767,0.1065,0.0748,0.0899,0.0884,2019
2021,"65p","ALL",0.1047,0.0755,0.1034,0.0732,0.0881,0.0862,2019
2022,"65p","ALL",0.1025,0.075,0.1005,0.0721,0.0869,0.0844,2019
2023,"65p","ALL",0.0998,0.0738,0.0973,0.0705,0.0851,0.0822,2019
2024,"65p","ALL",0.097,0.0723,0.0943,0.069,0.083,0.08,2019
2025,"65p","ALL",0.0942,0.0708,0.0913,0.0675,0.081,0.0779,2019
2026,"65p","ALL",0.0908,0.069,0.0881,0.0657,0.0785,0.0754,2019
2027,"65p","ALL",0.0869,0.0661,0.0842,0.063,0.0752,0.0723,2019
2028,"65p","ALL",0.0833,0.0632,0.0807,0.0602,0.072,0.0692,2019
2029,"65p","ALL",0.0798,0.0598,0.0773,0.0572,0.0685,0.066,2019
2030,"65p","ALL",0.0764,0.0567,0.0738,0.0543,0.0653,0.0628,2019
2031,"65p","ALL",0.0735,0.0537,0.0704,0.0513,0.0623,0.0596,2019
2032,"65p","ALL",0.0707,0.0507,0.0675,0.0485,0.0594,0.0568,2019
2033,"65p","ALL",0.0683,0.0481,0.0651,0.0462,0.0569,0.0544,2019
2034,"65p","ALL",0.0663,0.0461,0.063,0.0442,0.0549,0.0524,2019
2035,"65p","ALL",0.0643,0.0445,0.0612,0.0425,0.0531,0.0507,2019
2036,"65p","ALL",0.0628,0.0431,0.0599,0.0413,0.0517,0.0494,2019
2037,"65p","ALL",0.0619,0.042,0.0588,0.0402,0.0506,0.0482,2019
2038,"65p","ALL",0.0604,0.0406,0.0575,0.0392,0.0492,0.0471,2019
2039,"65p","ALL",0.059,0.0396,0.0564,0.038,0.048,0.046,2019
2040,"65p","ALL",0.0579,0.0385,0.0553,0.0372,0.0468,0.045,2019
2041,"65p","ALL",0.057,0.0377,0.0544,0.0362,0.046,0.044,2019
2042,"65p","ALL",0.056,0.037,0.0537,0.0355,0.0451,0.0433,2019
2043,"65p","ALL",0.0555,0.0364,0.0532,0.035,0.0446,0.0428,2019
2044,"65p","ALL",0.0552,0.0361,0.0527,0.0346,0.0443,0.0424,2019
2045,"65p","ALL",0.0552,0.0359,0.0526,0.0345,0.0442,0.0423,2019
2046,"65p","ALL",0.0552,0.0356,0.0527,0.0342,0.0441,0.0422,2019
2047,"65p","ALL",0.0554,0.0355,0.0528,0.0342,0.0441,0.0422,2019
2048,"65p","ALL",0.0549,0.0351,0.0524,0.0339,0.0436,0.0419,2019
2049,"65p","ALL",0.0543,0.0347,0.0519,0.0336,0.0432,0.0415,2019
2050,"65p","ALL",0.0535,0.0343,0.0512,0.0331,0.0426,0.041,2019
2051,"65p","ALL",0.0524,0.0337,0.0503,0.0324,0.0418,0.0402,2019
2052,"65p","ALL",0.0512,0.0329,0.0491,0.0318,0.0409,0.0393,2019
2053,"65p","ALL",0.0501,0.0322,0.0484,0.0309,0.04,0.0385,2019
2054,"65p","ALL",0.0492,0.0315,0.0474,0.0302,0.0392,0.0377,2019
2055,"65p","ALL",0.0482,0.0308,0.0464,0.0295,0.0384,0.0369,2019
2056,"65p","ALL",0.0473,0.0301,0.0453,0.0289,0.0376,0.0361,2019
2057,"65p","ALL",0.0463,0.0292,0.0443,0.0282,0.0367,0.0353,2019
2058,"65p","ALL",0.0451,0.0286,0.043,0.0275,0.0358,0.0344,2019
2059,"65p","ALL",0.0439,0.0279,0.0416,0.0269,0.0349,0.0334,2019
2060,"65p","ALL",0.0428,0.0272,0.0406,0.0263,0.0341,0.0327,2019
2010,"18-99","ALL",0.249,0.1957,0.249,0.1955,0.2217,0.2216,2019
2011,"18-99","ALL",0.2434,0.1904,0.2434,0.1903,0.2162,0.2162,2019
2012,"18-99","ALL",0.2378,0.1851,0.2379,0.1851,0.2108,0.2108,2019
2013,"18-99","ALL",0.2325,0.1801,0.2325,0.1801,0.2057,0.2057,2019
2014,"18-99","ALL",0.2266,0.175,0.2267,0.1751,0.2002,0.2003,2019
2015,"18-99","ALL",0.2215,0.1703,0.2216,0.1703,0.1953,0.1954,2019
2016,"18-99","ALL",0.2166,0.1658,0.2166,0.1659,0.1906,0.1907,2019
2017,"18-99","ALL",0.2121,0.1618,0.212,0.1619,0.1864,0.1864,2019
2018,"18-99","ALL",0.2076,0.1579,0.2077,0.158,0.1822,0.1823,2019
2019,"18-99","ALL",0.2033,0.1543,0.2017,0.1531,0.1783,0.1769,2019
2020,"18-99","ALL",0.1993,0.1508,0.1964,0.1488,0.1746,0.1721,2019
2021,"18-99","ALL",0.1953,0.1474,0.1916,0.1448,0.1709,0.1678,2019
2022,"18-99","ALL",0.1916,0.1443,0.1871,0.1412,0.1675,0.1637,2019
2023,"18-99","ALL",0.188,0.1411,0.1829,0.1376,0.1641,0.1598,2019
2024,"18-99","ALL",0.1846,0.1381,0.1791,0.1343,0.1609,0.1563,2019
2025,"18-99","ALL",0.1814,0.1353,0.1756,0.1313,0.158,0.1531,2019
2026,"18-99","ALL",0.1784,0.1326,0.1723,0.1285,0.1551,0.15,2019
2027,"18-99","ALL",0.1753,0.1298,0.169,0.1257,0.1521,0.1469,2019
2028,"18-99","ALL",0.1725,0.1271,0.1661,0.123,0.1494,0.1442,2019
2029,"18-99","ALL",0.1698,0.1245,0.1634,0.1205,0.1468,0.1416,2019
2030,"18-99","ALL",0.1673,0.1222,0.1609,0.1182,0.1444,0.1392,2019
2031,"18-99","ALL",0.1649,0.12,0.1585,0.116,0.1421,0.1369,2019
2032,"18-99","ALL",0.1627,0.1179,0.1562,0.114,0.1399,0.1348,2019
2033,"18-99","ALL",0.1605,0.1159,0.1541,0.1121,0.1378,0.1328,2019
2034,"18-99","ALL",0.1586,0.114,0.1521,0.1103,0.1359,0.1309,2019
2035,"18-99","ALL",0.1566,0.1122,0.1502,0.1086,0.134,0.1291,2019
2036,"18-99","ALL",0.1546,0.1106,0.1484,0.107,0.1322,0.1274,2019
2037,"18-99","ALL",0.1528,0.1089,0.1466,0.1054,0.1305,0.1257,2019
2038,"18-99","ALL",0.1509,0.1074,0.1449,0.104,0.1288,0.1241,2019
2039,"18-99","ALL",0.1492,0.106,0.1433,0.1026,0.1273,0.1226,2019
2040,"18-99","ALL",0.1477,0.1047,0.1417,0.1013,0.1258,0.1212,2019
2041,"18-99","ALL",0.1462,0.1035,0.1403,0.1001,0.1245,0.1199,2019
2042,"18-99","ALL",0.1447,0.1024,0.139,0.099,0.1232,0.1186,2019
2043,"18-99","ALL",0.1433,0.1012,0.1376,0.0978,0.1219,0.1174,2019
2044,"18-99","ALL",0.1419,0.1001,0.1363,0.0967,0.1207,0.1162,2019
2045,"18-99","ALL",0.1406,0.0991,0.1351,0.0958,0.1195,0.1151,2019
2046,"18-99","ALL",0.1394,0.0981,0.134,0.0948,0.1184,0.1141,2019
2047,"18-99","ALL",0.1383,0.0973,0.133,0.094,0.1175,0.1132,2019
2048,"18-99","ALL",0.1373,0.0965,0.1321,0.0933,0.1166,0.1124,2019
2049,"18-99","ALL",0.1363,0.0957,0.1312,0.0926,0.1157,0.1116,2019
2050,"18-99","ALL",0.1354,0.095,0.1303,0.0919,0.1149,0.1108,2019
2051,"18-99","ALL",0.1344,0.0944,0.1295,0.0912,0.1141,0.11,2019
2052,"18-99","ALL",0.1337,0.0938,0.1287,0.0906,0.1134,0.1094,2019
2053,"18-99","ALL",0.133,0.0933,0.1281,0.0901,0.1129,0.1088,2019
2054,"18-99","ALL",0.1324,0.0928,0.1275,0.0896,0.1123,0.1083,2019
2055,"18-99","ALL",0.1318,0.0924,0.127,0.0892,0.1119,0.1079,2019
2056,"18-99","ALL",0.1314,0.0921,0.1265,0.0889,0.1115,0.1075,2019
2057,"18-99","ALL",0.131,0.0917,0.1261,0.0886,0.1111,0.1071,2019
2058,"18-99","ALL",0.1306,0.0915,0.1257,0.0884,0.1108,0.1068,2019
2059,"18-99","ALL",0.1303,0.0913,0.1253,0.0882,0.1105,0.1065,2019
2060,"18-99","ALL",0.13,0.091,0.125,0.088,0.1103,0.1063,2019
2010,"0","2010",0,0,0,0,0,0,2020
2010,"10","2000",0.0036,0.0011,0.0035,0.0012,0.0024,0.0024,2020
2010,"20","1990",0.2267,0.1769,0.2274,0.1765,0.2024,0.2026,2020
2010,"30","1980",0.3359,0.2533,0.3352,0.2526,0.295,0.2943,2020
2010,"40","1970",0.2594,0.2079,0.261,0.2081,0.2338,0.2347,2020
2011,"1","2010",0,0,0,0,0,0,2020
2011,"11","2000",0.007,0.0024,0.0068,0.0024,0.0047,0.0047,2020
2011,"21","1990",0.2383,0.1838,0.2394,0.1835,0.2116,0.2121,2020
2011,"31","1980",0.3291,0.2482,0.3286,0.2475,0.289,0.2885,2020
2011,"41","1970",0.2517,0.2029,0.2532,0.2022,0.2274,0.2278,2020
2012,"2","2010",0,0,0,0,0,0,2020
2012,"12","2000",0.0133,0.0055,0.0134,0.0056,0.0095,0.0096,2020
2012,"22","1990",0.2471,0.1867,0.2478,0.1867,0.2175,0.2179,2020
2012,"32","1980",0.3214,0.2429,0.3218,0.242,0.2825,0.2823,2020
2012,"42","1970",0.2447,0.1977,0.2454,0.1963,0.2213,0.221,2020
2013,"3","2010",0,0,0,0,0,0,2020
2013,"13","2000",0.0241,0.0117,0.0242,0.012,0.0181,0.0182,2020
2013,"23","1990",0.2528,0.1889,0.2543,0.1888,0.2215,0.2222,2020
2013,"33","1980",0.3143,0.2376,0.3145,0.2367,0.2763,0.2759,2020
2013,"43","1970",0.2378,0.192,0.2388,0.1914,0.215,0.2152,2020
2014,"4","2010",0,0,0,0,0,0,2020
2014,"14","2000",0.0427,0.0239,0.0429,0.0239,0.0335,0.0336,2020
2014,"24","1990",0.2555,0.1906,0.2559,0.19,0.2237,0.2236,2020
2014,"34","1980",0.3068,0.2319,0.3065,0.2311,0.2696,0.269,2020
2014,"44","1970",0.231,0.1867,0.2313,0.1856,0.2088,0.2084,2020
2015,"5","2010",0,0,0,0,0,0,2020
2015,"15","2000",0.0671,0.0403,0.067,0.0408,0.054,0.0542,2020
2015,"25","1990",0.2566,0.1906,0.2568,0.1903,0.2242,0.2243,2020
2015,"35","1980",0.2994,0.2263,0.2989,0.2255,0.263,0.2624,2020
2015,"45","1970",0.224,0.1812,0.2239,0.1798,0.2025,0.2018,2020
2016,"6","2010",0,0,0,0,0,0,2020
2016,"16","2000",0.0965,0.0618,0.0965,0.0623,0.0796,0.0798,2020
2016,"26","1990",0.2569,0.1897,0.2564,0.1896,0.224,0.2237,2020
2016,"36","1980",0.2914,0.2206,0.2917,0.2203,0.2562,0.2562,2020
2016,"46","1970",0.218,0.1756,0.2173,0.1746,0.1967,0.1958,2020
2017,"7","2010",0,0,0,0,0,0,2020
2017,"17","2000",0.1238,0.0827,0.1235,0.0832,0.1038,0.1039,2020
2017,"27","1990",0.2553,0.189,0.2546,0.1883,0.2228,0.2221,2020
2017,"37","1980",0.2839,0.2156,0.2836,0.2153,0.25,0.2496,2020
2017,"47","1970",0.2109,0.1701,0.2106,0.169,0.1904,0.1897,2020
2018,"8","2010",5e-04,1e-04,5e-04,1e-04,3e-04,3e-04,2020
2018,"18","2000",0.1491,0.1018,0.1484,0.1023,0.126,0.1259,2020
